section,question_no,question_type,instruction,prompt,source_text,answer,explanation,marks
II. Fill in the blanks with appropriate words from the list given.,1,fill_in_the_blank,Fill in the blanks with appropriate words from the list given. Write the number of the blank and the word you have chosen.,"Electricity is a (1) ______ condition for national progress. It supports many public (2) ______ such as hospitals, schools, and communication systems. When power is (3) ______ and continuous, businesses can work more (4) ______. Rural (5) ______ benefit from electric pumps, lighting, and refrigeration. Electricity is important for (6) ______ because it improves agriculture, trade, and education. It also helps clinics use medical (7) ______ safely. Affordable electricity is essential (8) ______ it enables people to work, study, and live better. As a result, electricity contributes to economic (9) ______ and social (10) ______.","affordable, because, communities, development, efficiently, equipment, growth, necessary, reliable, services",1. necessary; 2. services; 3. reliable; 4. efficiently; 5. communities; 6. development; 7. equipment; 8. because; 9. growth; 10. development,"Use context clues: adjective-noun agreement, logical meaning, and grammar patterns.",10
III. Rewrite the following according to the instructions given in brackets.,1,rewrite,Rewrite the sentence according to the given instruction.,"Although the power supply was interrupted, the workers completed the repair. (Rewrite, using 'in spite of')",,"In spite of the interruption of the power supply, the workers completed the repair.",Use 'in spite of' + noun phrase.,2
III. Rewrite the following according to the instructions given in brackets.,2,rewrite,Rewrite the sentence according to the given instruction.,"The engineer checks the machines every morning. (Rewrite, using Passive Voice)",,The machines are checked by the engineer every morning.,Present simple passive = am/is/are + past participle.,2
III. Rewrite the following according to the instructions given in brackets.,3,rewrite,Rewrite the sentence according to the given instruction.,"Ko Ko likes reading reports. Aye Aye likes reading reports. (Join, using 'Both ... and')",,Both Ko Ko and Aye Aye like reading reports.,Use plural verb 'like' after 'Both ... and'.,2
III. Rewrite the following according to the instructions given in brackets.,4,rewrite,Rewrite the sentence according to the given instruction.,"The cable is very weak. It cannot carry the load. (Join, using 'too ... to')",,The cable is too weak to carry the load.,Use 'too + adjective + to infinitive'.,2
III. Rewrite the following according to the instructions given in brackets.,5,rewrite,Rewrite the sentence according to the given instruction.,"You should complete the safety form. (Rewrite, using 'must')",,You must complete the safety form.,Replace the modal with stronger obligation.,2
III. Rewrite the following according to the instructions given in brackets.,6,rewrite,Rewrite the sentence according to the given instruction.,"He said, 'I will inspect the transformer tomorrow.' (Rewrite, using Indirect Speech)",,He said that he would inspect the transformer the next day.,Backshift will -> would; tomorrow -> the next day.,2
III. Rewrite the following according to the instructions given in brackets.,7,rewrite,Rewrite the sentence according to the given instruction.,"This generator is as powerful as that generator. (Rewrite, using 'not ... than')",,That generator is not more powerful than this generator.,Comparative transformation with same meaning.,2
III. Rewrite the following according to the instructions given in brackets.,8,rewrite,Rewrite the sentence according to the given instruction.,"It is necessary for all staff to follow the safety rules. (Rewrite, using 'Every')",,Every member of the staff must follow the safety rules.,Change general group expression to singular distributive form.,2
III. Rewrite the following according to the instructions given in brackets.,9,rewrite,Rewrite the sentence according to the given instruction.,A lot of maintenance reports were prepared by the department. (Change into Active Voice),,The department prepared a lot of maintenance reports.,Make the agent the subject.,2
III. Rewrite the following according to the instructions given in brackets.,10,rewrite,Rewrite the sentence according to the given instruction.,"She worked hard. She wanted to pass the promotion examination. (Join, using 'to + infinitive')",,She worked hard to pass the promotion examination.,Use infinitive of purpose.,2
IV. Write an argument of not more than 200 words FOR or AGAINST the following.,1,argument,Write not more than 200 words.,Reliable electricity is the key to national development.,,"Sample answer should present a clear argument, supporting points, and a brief conclusion within 200 words.","Assess content, organization, grammar, and relevance.",25
V. Write an essay of not more than 250 words on the following.,1,essay,Write not more than 250 words.,Benefits of improved electricity access in Myanmar,,"Sample essay should explain benefits for education, health, agriculture, business, and living standards.","Assess organization, development of ideas, grammar, and vocabulary.",25
VI. Write a formal letter on one of the following topics.,1,letter,Write a formal letter using proper format.,Write a letter to the Township Electricity Engineer requesting repair of damaged power lines in your area.,,"Sample letter should include sender address, date, receiver, subject, salutation, body, and closing.","Assess format, tone, clarity, grammar, and purpose.",20
