section,question_no,question_type,question_prompt,source_text,correct_answer,explanation,example,marks
fill_blank,4,fill_blank,"The electricity planning problem in many developing ____ is more complicated than in developed countries. The challenge is not only to substitute investment cost reductions in electricity use for ____ in power plants, ____ also to obtain financing for electricity-related investment. Power development is difficult ____ electric power industries are among the ____ capital-intensive in an economy, draining scarce ____ resources. And, for countries lacking energy resources, ____ oil and other fuels is also a major drain ____ foreign exchange reserves.","countries, but, investments, importing, because, most, financial, in",because,because introduces the reason.,Blank 4 uses because.,1.25
fill_blank,5,fill_blank,"The electricity planning problem in many developing ____ is more complicated than in developed countries. The challenge is not only to substitute investment cost reductions in electricity use for ____ in power plants, ____ also to obtain financing for electricity-related investment. Power development is difficult ____ electric power industries are among the ____ capital-intensive in an economy, draining scarce ____ resources. And, for countries lacking energy resources, ____ oil and other fuels is also a major drain ____ foreign exchange reserves.","countries, but, investments, importing, because, most, financial, in",most,most correctly forms the superlative phrase “the most capital-intensive.”,Blank 5 uses most.,1.25
fill_blank,6,fill_blank,"The electricity planning problem in many developing ____ is more complicated than in developed countries. The challenge is not only to substitute investment cost reductions in electricity use for ____ in power plants, ____ also to obtain financing for electricity-related investment. Power development is difficult ____ electric power industries are among the ____ capital-intensive in an economy, draining scarce ____ resources. And, for countries lacking energy resources, ____ oil and other fuels is also a major drain ____ foreign exchange reserves.","countries, but, investments, importing, because, most, financial, in",financial,financial describes the kind of resources being drained.,Blank 6 uses financial.,1.25
fill_blank,7,fill_blank,"The electricity planning problem in many developing ____ is more complicated than in developed countries. The challenge is not only to substitute investment cost reductions in electricity use for ____ in power plants, ____ also to obtain financing for electricity-related investment. Power development is difficult ____ electric power industries are among the ____ capital-intensive in an economy, draining scarce ____ resources. And, for countries lacking energy resources, ____ oil and other fuels is also a major drain ____ foreign exchange reserves.","countries, but, investments, importing, because, most, financial, in",importing,importing is the correct gerund subject before “oil and other fuels.”,Blank 7 uses importing.,1.25
fill_blank,8,fill_blank,"The electricity planning problem in many developing ____ is more complicated than in developed countries. The challenge is not only to substitute investment cost reductions in electricity use for ____ in power plants, ____ also to obtain financing for electricity-related investment. Power development is difficult ____ electric power industries are among the ____ capital-intensive in an economy, draining scarce ____ resources. And, for countries lacking energy resources, ____ oil and other fuels is also a major drain ____ foreign exchange reserves.","countries, but, investments, importing, because, most, financial, in",in,in is the correct preposition in the phrase “drain in foreign exchange reserves.”,Blank 8 uses in.,1.25
rewrite,1,grammar_rewrite,"Although the weather was bad, she went to work.",Rewrite using “in spite of”,"In spite of the bad weather, she went to work.","Use a noun phrase after “in spite of,” not a clause.",Rewrite using “in spite of”,2.0
rewrite,2,grammar_rewrite,The salesgirl in this store always welcomes the customers.,Rewrite in passive voice,The customers are always welcomed by the salesgirl in this store.,Move the object “the customers” to the front and change the verb to passive.,Rewrite in passive voice,2.0
rewrite,3,grammar_rewrite,Mg Mg likes learning English. Ma Ma likes learning English.,Join using “both ... and”,Both Mg Mg and Ma Ma like learning English.,Use the plural verb “like” because the subject is plural.,Join using “both ... and”,2.0
rewrite,4,grammar_rewrite,The box is very heavy. I cannot lift it alone.,Join using “so ... that”,The box is so heavy that I cannot lift it alone.,Use “so + adjective + that” to show result.,Join using “so ... that”,2.0
rewrite,5,grammar_rewrite,You play tennis.,Rewrite using “Can”,Can you play tennis?,Change the statement into a yes/no question with the modal verb.,Rewrite using “Can”,2.0
rewrite,6,grammar_rewrite,"He said, “Mg Mg, work systematically and carefully if you want to be promoted.”",Rewrite in indirect speech,He told Mg Mg to work systematically and carefully if he wanted to be promoted.,"In indirect speech, “said” changes to “told” with an object, and the verb becomes infinitive.",Rewrite in indirect speech,2.0
rewrite,7,grammar_rewrite,She is beautiful like a red rose.,Rewrite using “as ... as”,She is as beautiful as a red rose.,Use “as + adjective + as” for equal comparison.,Rewrite using “as ... as”,2.0
rewrite,8,grammar_rewrite,It is necessary for all the citizens to participate in the nation-building tasks.,Rewrite using “must”,All the citizens must participate in the nation-building tasks.,“It is necessary to” can be rewritten with “must.”,Rewrite using “must”,2.0
rewrite,9,grammar_rewrite,A lot of rural electrification programs and national electrification agencies have been created in the poorest countries.,Change into active voice,Governments and development organizations have created a lot of rural electrification programs and national electrification agencies in the poorest countries.,Add a suitable subject in active voice when the doer is not given.,Change into active voice,2.0
rewrite,10,grammar_rewrite,He worked hard. He wanted to be promoted.,Join using “to + verb infinitive”,He worked hard to be promoted.,Use the infinitive of purpose.,Join using “to + verb infinitive”,2.0
writing,1,argument,Write an argument of not more than 200 words FOR or AGAINST the following statement: “Energy alone is not sufficient for the development of a country.”,,Model points should be developed by the learner.,"Learners should state a position clearly, explain it with two or three reasons, and conclude briefly.","Use introduction, body, and conclusion.",15.0
writing,2,essay,Write an essay of not more than 250 words on the following topic: “Benefits of increased electricity access in Myanmar.”,,Model points should be developed by the learner.,"A good essay should mention economic growth, health, education, communication, and rural development.","Use introduction, body, and conclusion.",20.0
writing,3,letter,Write a formal letter to the Township Electrical Engineer requesting urgent repair of a damaged distribution line that has caused frequent power interruptions in your area.,formal letter,"No. 24, Thazin Street,
Monywa
15 July 2026

The Township Electrical Engineer
Electricity Supply Office
Monywa

Subject: Request for urgent repair of damaged distribution line

Dear Sir,

I am writing to request urgent repair work on the damaged distribution line in our ward. For the past two weeks, our area has experienced frequent power interruptions, especially in the evening. As a result, households, shops, and students preparing for examinations have faced serious difficulties.

The unstable power supply has also affected small businesses and water pumping activities. We would therefore be grateful if your department could inspect the line and carry out the necessary repairs as soon as possible.

Thank you for your attention to this matter.

Yours faithfully,

Aung Aung","The letter uses a formal format, states the problem in the first paragraph, explains the impact in the second, and ends with a polite request.",Use formal greeting and polite closing.,20.0
