section,question_no,question_type,instruction,prompt,source_text,answer,explanation,marks
fill_in_blank,1,fill_blank,Choose a word from the word bank for each blank.,Blank (1) in the fill-in-the-blank passage,"Power system planning is essential to meet the ____ (1) demand for electricity. Engineers must ensure that electricity is supplied in a ____ (2) and safe manner. A distribution planner studies the ____ (3) of substations, the condition of feeders, and the needs of ____ (4). Good planning requires both financial and ____ (5) analysis. In many developing regions, ____ (6) in power infrastructure is delayed ____ (7) of limited resources. As a result, utilities may not provide good ____ (8) to the public. To reduce losses, electricity must be delivered through an efficient ____ (9) network in the most ____ (10) way. | Word bank: because, reliable, investment, consumers, distribution, technical, growing, economical, location, service",growing,"""growing demand"" is the natural collocation.",1
fill_in_blank,2,fill_blank,Choose a word from the word bank for each blank.,Blank (2) in the fill-in-the-blank passage,"Power system planning is essential to meet the ____ (1) demand for electricity. Engineers must ensure that electricity is supplied in a ____ (2) and safe manner. A distribution planner studies the ____ (3) of substations, the condition of feeders, and the needs of ____ (4). Good planning requires both financial and ____ (5) analysis. In many developing regions, ____ (6) in power infrastructure is delayed ____ (7) of limited resources. As a result, utilities may not provide good ____ (8) to the public. To reduce losses, electricity must be delivered through an efficient ____ (9) network in the most ____ (10) way. | Word bank: because, reliable, investment, consumers, distribution, technical, growing, economical, location, service",reliable,"Electricity should be supplied in a ""reliable and safe"" manner.",1
fill_in_blank,3,fill_blank,Choose a word from the word bank for each blank.,Blank (3) in the fill-in-the-blank passage,"Power system planning is essential to meet the ____ (1) demand for electricity. Engineers must ensure that electricity is supplied in a ____ (2) and safe manner. A distribution planner studies the ____ (3) of substations, the condition of feeders, and the needs of ____ (4). Good planning requires both financial and ____ (5) analysis. In many developing regions, ____ (6) in power infrastructure is delayed ____ (7) of limited resources. As a result, utilities may not provide good ____ (8) to the public. To reduce losses, electricity must be delivered through an efficient ____ (9) network in the most ____ (10) way. | Word bank: because, reliable, investment, consumers, distribution, technical, growing, economical, location, service",location,"Planners study the ""location"" of substations.",1
fill_in_blank,4,fill_blank,Choose a word from the word bank for each blank.,Blank (4) in the fill-in-the-blank passage,"Power system planning is essential to meet the ____ (1) demand for electricity. Engineers must ensure that electricity is supplied in a ____ (2) and safe manner. A distribution planner studies the ____ (3) of substations, the condition of feeders, and the needs of ____ (4). Good planning requires both financial and ____ (5) analysis. In many developing regions, ____ (6) in power infrastructure is delayed ____ (7) of limited resources. As a result, utilities may not provide good ____ (8) to the public. To reduce losses, electricity must be delivered through an efficient ____ (9) network in the most ____ (10) way. | Word bank: because, reliable, investment, consumers, distribution, technical, growing, economical, location, service",consumers,"Utilities serve ""consumers"".",1
fill_in_blank,5,fill_blank,Choose a word from the word bank for each blank.,Blank (5) in the fill-in-the-blank passage,"Power system planning is essential to meet the ____ (1) demand for electricity. Engineers must ensure that electricity is supplied in a ____ (2) and safe manner. A distribution planner studies the ____ (3) of substations, the condition of feeders, and the needs of ____ (4). Good planning requires both financial and ____ (5) analysis. In many developing regions, ____ (6) in power infrastructure is delayed ____ (7) of limited resources. As a result, utilities may not provide good ____ (8) to the public. To reduce losses, electricity must be delivered through an efficient ____ (9) network in the most ____ (10) way. | Word bank: because, reliable, investment, consumers, distribution, technical, growing, economical, location, service",technical,"Planning needs ""technical"" analysis as well as financial analysis.",1
fill_in_blank,6,fill_blank,Choose a word from the word bank for each blank.,Blank (6) in the fill-in-the-blank passage,"Power system planning is essential to meet the ____ (1) demand for electricity. Engineers must ensure that electricity is supplied in a ____ (2) and safe manner. A distribution planner studies the ____ (3) of substations, the condition of feeders, and the needs of ____ (4). Good planning requires both financial and ____ (5) analysis. In many developing regions, ____ (6) in power infrastructure is delayed ____ (7) of limited resources. As a result, utilities may not provide good ____ (8) to the public. To reduce losses, electricity must be delivered through an efficient ____ (9) network in the most ____ (10) way. | Word bank: because, reliable, investment, consumers, distribution, technical, growing, economical, location, service",investment,"""investment in power infrastructure"" is the correct phrase.",1
fill_in_blank,7,fill_blank,Choose a word from the word bank for each blank.,Blank (7) in the fill-in-the-blank passage,"Power system planning is essential to meet the ____ (1) demand for electricity. Engineers must ensure that electricity is supplied in a ____ (2) and safe manner. A distribution planner studies the ____ (3) of substations, the condition of feeders, and the needs of ____ (4). Good planning requires both financial and ____ (5) analysis. In many developing regions, ____ (6) in power infrastructure is delayed ____ (7) of limited resources. As a result, utilities may not provide good ____ (8) to the public. To reduce losses, electricity must be delivered through an efficient ____ (9) network in the most ____ (10) way. | Word bank: because, reliable, investment, consumers, distribution, technical, growing, economical, location, service",because,"The expression is ""because of limited resources.""",1
fill_in_blank,8,fill_blank,Choose a word from the word bank for each blank.,Blank (8) in the fill-in-the-blank passage,"Power system planning is essential to meet the ____ (1) demand for electricity. Engineers must ensure that electricity is supplied in a ____ (2) and safe manner. A distribution planner studies the ____ (3) of substations, the condition of feeders, and the needs of ____ (4). Good planning requires both financial and ____ (5) analysis. In many developing regions, ____ (6) in power infrastructure is delayed ____ (7) of limited resources. As a result, utilities may not provide good ____ (8) to the public. To reduce losses, electricity must be delivered through an efficient ____ (9) network in the most ____ (10) way. | Word bank: because, reliable, investment, consumers, distribution, technical, growing, economical, location, service",service,"Utilities provide good ""service"" to the public.",1
fill_in_blank,9,fill_blank,Choose a word from the word bank for each blank.,Blank (9) in the fill-in-the-blank passage,"Power system planning is essential to meet the ____ (1) demand for electricity. Engineers must ensure that electricity is supplied in a ____ (2) and safe manner. A distribution planner studies the ____ (3) of substations, the condition of feeders, and the needs of ____ (4). Good planning requires both financial and ____ (5) analysis. In many developing regions, ____ (6) in power infrastructure is delayed ____ (7) of limited resources. As a result, utilities may not provide good ____ (8) to the public. To reduce losses, electricity must be delivered through an efficient ____ (9) network in the most ____ (10) way. | Word bank: because, reliable, investment, consumers, distribution, technical, growing, economical, location, service",distribution,"The phrase is ""distribution network.""",1
fill_in_blank,10,fill_blank,Choose a word from the word bank for each blank.,Blank (10) in the fill-in-the-blank passage,"Power system planning is essential to meet the ____ (1) demand for electricity. Engineers must ensure that electricity is supplied in a ____ (2) and safe manner. A distribution planner studies the ____ (3) of substations, the condition of feeders, and the needs of ____ (4). Good planning requires both financial and ____ (5) analysis. In many developing regions, ____ (6) in power infrastructure is delayed ____ (7) of limited resources. As a result, utilities may not provide good ____ (8) to the public. To reduce losses, electricity must be delivered through an efficient ____ (9) network in the most ____ (10) way. | Word bank: because, reliable, investment, consumers, distribution, technical, growing, economical, location, service",economical,"The sentence ends with ""in the most economical way.""",1
rewrite,1,grammar_rewrite,"Rewrite using ""in spite of"".","Although the line was old, the workers repaired it carefully.",,"In spite of the old line, the workers repaired it carefully.",Maintain the original meaning while applying the required grammar pattern.,2
rewrite,2,grammar_rewrite,Rewrite in passive voice.,The technician checks the meters every morning.,,The meters are checked every morning by the technician.,Maintain the original meaning while applying the required grammar pattern.,2
rewrite,3,grammar_rewrite,"Join using ""both ... and"".",Ko Ko studies grammar. Hla Hla studies grammar.,,Both Ko Ko and Hla Hla study grammar.,Maintain the original meaning while applying the required grammar pattern.,2
rewrite,4,grammar_rewrite,"Join using ""so ... that"".",The transformer is very heavy. We cannot move it.,,The transformer is so heavy that we cannot move it.,Maintain the original meaning while applying the required grammar pattern.,2
rewrite,5,grammar_rewrite,"Rewrite using ""Can"".",You understand this diagram.,,Can you understand this diagram?,Maintain the original meaning while applying the required grammar pattern.,2
rewrite,6,grammar_rewrite,Rewrite in indirect speech.,"He said, ""Work carefully if you want to pass the examination.""",,He told us to work carefully if we wanted to pass the examination.,Maintain the original meaning while applying the required grammar pattern.,2
rewrite,7,grammar_rewrite,"Rewrite using ""as ... as"".",She is clever like her elder sister.,,She is as clever as her elder sister.,Maintain the original meaning while applying the required grammar pattern.,2
rewrite,8,grammar_rewrite,"Rewrite using ""must"".",It is necessary for every officer to follow the safety rules.,,Every officer must follow the safety rules.,Maintain the original meaning while applying the required grammar pattern.,2
rewrite,9,grammar_rewrite,Change into active voice.,Many rural electrification projects were completed last year.,,The ministry / the department / the government completed many rural electrification projects last year.,Maintain the original meaning while applying the required grammar pattern.,2
rewrite,10,grammar_rewrite,"Join using ""to + verb infinitive"".",He went to the library. He wanted to read about power distribution.,,He went to the library to read about power distribution.,Maintain the original meaning while applying the required grammar pattern.,2
argument,1,writing_argument,Write not more than 200 words.,Write an argument of not more than 200 words FOR or AGAINST the following statement: Electricity access is more important than road access for rural development.,,Model answer should present a clear position with supporting reasons and a short conclusion.,"Check content relevance, organization, grammar, and vocabulary.",20
essay,1,writing_essay,Write not more than 250 words.,Write an essay of not more than 250 words on the following topic: The benefits of reliable electricity for public services.,,"Model essay should include public services such as health, education, water supply, communication, and administration.","Check introduction, body, conclusion, and relevant supporting points.",20
letter,1,formal_letter,Use formal letter format.,Write a formal letter to the Township Electrical Engineer requesting the replacement of damaged street lights in your ward. Mention the problems caused by poor lighting and ask for prompt action.,,"Include sender address, date, receiver, subject, salutation, body, polite closing, and signature.","Assess format, clarity of request, grammar, and tone.",20
